iter	Passed	Remaining
1455	14691	35758
1456	14701	35748
1457	14711	35739
1458	14721	35730
1459	14731	35719
1460	14742	35710
1461	14752	35701
1462	14763	35692
1463	14773	35682
1464	14783	35671
1465	14793	35660
1466	14803	35650
1467	14813	35641
1468	14823	35631
1469	14834	35622
1470	14844	35612
1471	14854	35603
1472	14864	35592
1473	14874	35581
1474	14884	35571
1475	14894	35562
1476	14904	35551
1477	14914	35541
1478	14924	35531
1479	14934	35520
1480	14944	35510
1481	14955	35500
1482	14965	35490
1483	14975	35480
1484	14985	35470
1485	14995	35459
1486	15005	35449
1487	15014	35438
1488	15025	35428
1489	15035	35418
1490	15045	35407
1491	15055	35398
1492	15065	35388
1493	15076	35379
1494	15086	35369
1495	15096	35360
1496	15107	35350
1497	15117	35340
1498	15127	35330
1499	15137	35320
1500	15147	35311
1501	15158	35301
1502	15167	35290
1503	15177	35279
1504	15187	35269
1505	15197	35259
1506	15208	35250
1507	15219	35242
1508	15229	35232
1509	15239	35223
1510	15250	35213
1511	15260	35202
1512	15270	35194
1513	15280	35184
1514	15290	35174
1515	15300	35163
1516	15310	35153
1517	15320	35142
1518	15329	35130
1519	15340	35121
1520	15350	35111
1521	15360	35100
1522	15370	35090
1523	15380	35081
1524	15390	35069
1525	15400	35060
1526	15410	35050
1527	15420	35039
1528	15430	35028
1529	15440	35018
1530	15450	35007
1531	15460	34998
1532	15471	34990
1533	15481	34980
1534	15492	34972
1535	15502	34962
1536	15513	34953
1537	15523	34942
1538	15533	34932
1539	15543	34922
1540	15553	34912
1541	15563	34902
1542	15573	34891
1543	15583	34882
1544	15593	34871
1545	15603	34860
1546	15613	34850
1547	15623	34840
1548	15633	34830
1549	15644	34821
1550	15654	34811
1551	15665	34802
1552	15674	34791
1553	15685	34782
1554	15695	34772
1555	15704	34760
1556	15714	34749
1557	15724	34739
1558	15734	34728
1559	15745	34720
1560	15754	34709
1561	15765	34699
1562	15775	34688
1563	15784	34678
1564	15794	34667
1565	15804	34657
1566	15815	34647
1567	15825	34638
1568	15835	34628
1569	15845	34618
1570	15856	34609
1571	15866	34600
1572	15876	34589
1573	15886	34579
1574	15896	34569
1575	15906	34559
1576	15916	34547
1577	15926	34537
1578	15936	34527
1579	15946	34517
1580	15956	34506
1581	15966	34496
1582	15976	34486
1583	15986	34476
1584	15997	34466
1585	16007	34456
1586	16017	34446
1587	16027	34436
1588	16037	34426
1589	16047	34416
1590	16056	34404
1591	16067	34395
1592	16078	34386
1593	16087	34375
1594	16097	34364
1595	16107	34355
1596	16117	34344
1597	16128	34335
1598	16137	34324
1599	16148	34314
1600	16158	34305
1601	16168	34295
1602	16178	34285
1603	16188	34275
1604	16198	34265
1605	16209	34255
1606	16219	34246
1607	16230	34237
1608	16240	34227
1609	16250	34217
1610	16260	34207
1611	16271	34197
1612	16283	34192
1613	16293	34182
1614	16303	34172
1615	16313	34161
1616	16323	34150
1617	16333	34140
1618	16343	34130
1619	16356	34126
1620	16373	34130
1621	16387	34127
1622	16397	34118
1623	16408	34109
1624	16418	34100
1625	16429	34090
1626	16438	34080
1627	16448	34069
1628	16458	34059
1629	16468	34048
1630	16478	34038
1631	16489	34028
1632	16499	34018
1633	16509	34009
1634	16519	33999
1635	16529	33988
1636	16539	33978
1637	16549	33967
1638	16559	33957
1639	16568	33945
1640	16578	33935
1641	16588	33925
1642	16598	33915
1643	16609	33905
1644	16618	33894
1645	16628	33883
1646	16638	33873
1647	16648	33862
1648	16658	33851
1649	16668	33842
1650	16678	33832
1651	16689	33822
1652	16698	33811
1653	16709	33801
1654	16719	33792
1655	16729	33782
1656	16739	33772
1657	16749	33762
1658	16759	33752
1659	16769	33741
1660	16780	33732
1661	16790	33722
1662	16800	33712
1663	16810	33702
1664	16820	33691
1665	16830	33681
1666	16839	33669
1667	16849	33659
1668	16859	33648
1669	16870	33639
1670	16879	33628
1671	16889	33618
